"count","date","ProvinceState","CountryRegion","Lat","Long","oztime","statetime","int","slope"
13,"2020/03/03","New South Wales","Australia","-33.8688","151.2093",0,0,0,0
22,"2020/03/04","New South Wales","Australia","-33.8688","151.2093",1,1,0,0
22,"2020/03/05","New South Wales","Australia","-33.8688","151.2093",2,2,0,0
26,"2020/03/06","New South Wales","Australia","-33.8688","151.2093",3,3,0,0
28,"2020/03/07","New South Wales","Australia","-33.8688","151.2093",4,4,0,0
38,"2020/03/08","New South Wales","Australia","-33.8688","151.2093",5,5,0,0
48,"2020/03/09","New South Wales","Australia","-33.8688","151.2093",6,6,0,0
55,"2020/03/10","New South Wales","Australia","-33.8688","151.2093",7,7,2.77100363659026,0.174799936372547
65,"2020/03/11","New South Wales","Australia","-33.8688","151.2093",8,8,2.68114037416056,0.188903954663742
65,"2020/03/12","New South Wales","Australia","-33.8688","151.2093",9,9,2.80380542414795,0.16353441746529
92,"2020/03/13","New South Wales","Australia","-33.8688","151.2093",10,10,2.75821690548852,0.172277042643469
112,"2020/03/14","New South Wales","Australia","-33.8688","151.2093",11,11,2.77809856942924,0.172559354703702
134,"2020/03/15","New South Wales","Australia","-33.8688","151.2093",12,12,2.72407449680565,0.179325562878924
171,"2020/03/16","New South Wales","Australia","-33.8688","151.2093",13,13,2.53715647790703,0.198208069220559
210,"2020/03/17","New South Wales","Australia","-33.8688","151.2093",14,14,2.39854031345308,0.210251962016297
267,"2020/03/18","New South Wales","Australia","-33.8688","151.2093",15,15,2.23731034977987,0.223062487719351
307,"2020/03/19","New South Wales","Australia","-33.8688","151.2093",16,16,2.45303966983061,0.20631540217394
